#name		rad	stroke	pos		num	max	sum	minalloc	cat
Circle		0	1	IN		1	0	0	0	first:IN
One		1	1	IN		27	3444	12308	1.2	first:IN
Line		2	1	IN		10	257	1455	0.85714	first:IN
Dot		3	1	IN		6	699	1957	0	first:IN
Slash		4	1	IN		21	610	1136	1.6	first:IN
Second		5	1	R|IN		12	949	1086	1.2	occur:R
Hook		6	1	IN		7	986	3611	1.2	first:IN
Two		7	2	SAB|IN		15	985	2327	1.2	occur:SAB
Lid		8	2	A		17	965	1473	1.2	occur:A
Man		9	2	L		338	17502	43476	1.8	all:L
Legs		10	2	B		25	2068	3820	1.2	first:B
Enter		11	2	A|IN		5	510	4070	0	occur:A
Eight		12	2	B		15	1832	2976	1.2	first:B
DownBox		13	2	SA		19	948	2763	1.2	occur:SA
Cover		14	2	A		15	500	748	1.2	occur:A
Ice		15	2	L		30	916	1074	1.2	all:L
Table		16	2	SA|B		14	384	808	1.2	occur:SA
OpenBox		17	2	SB		7	637	3793	1.2	occur:SB
Knife		18	2	R		84	5870	15170	2.2	occur:R
Power		19	2	R|B		61	4310	10562	3.4	asis:Power
Wrap		20	2	SAR		18	504	551	1.2	occur:SAR
Spoon		21	2	R		4	502	1652	1.2	occur:R
RightOpenBox	22	2	SL		12	128	131	1.2	occur:SL
HidingEnclosure	23	2	SL		7	732	984	0.9	occur:SL
Ten		24	2	IN|B		21	2581	4570	1.2	first:IN
Divination	25	2	A|B|R		8	128	297	1.2	occur:A
Seal		26	2	R|B		16	1051	1449	1.2	occur:R
Cliff		27	2	SAL		20	950	1605	0.93333	occur:SAL
Private		28	2	A|B		9	494	1464	1.2	occur:A
Again		29	2	B|R		24	1951	4680	1.2	occur:R
Mouth		30	3	L|B|InS*	352	11663	24767	2.2	all:L|B|InS*
Enclosure	31	3	S		35	2629	6331	1.8	occur:S
Earth		32	3	B|L		221	7872	13382	2	first:B
Scholar		33	3	A		15	979	1546	1.2	occur:A
Go		34	3	A		6	486	3853	0	occur:A
GoSlowly	35	3	B		8	247	344	0.93333	first:B
Evening		36	3	L		11	1235	3300	1.2	all:L
Big		37	3	A|B|IN		47	2449	5731	1.4	occur:A
Woman		38	3	L|B		168	5169	7294	1.6	all:L|B
Child		39	3	B|L		30	1721	5526	1.2	first:B
Roof		40	3	A		79	7216	15085	1.6	occur:A
Inch		41	3	R|B		22	2435	4334	1.2	occur:R
Small		42	3	IN		8	639	1572	1.2	first:IN
Lame		43	3	IN|SBL		9	216	258	1	occur:SBL
Corpse		44	3	SAL		39	2724	4718	1.4	occur:SAL
Sprout		45	3	IN		4	127	130	0.85714	first:IN
Mountain	46	3	L|A|B		161	1909	2382	2.9	asis:Mountain
River		47	3	A|IN		9	725	852	1.2	occur:A
Work		48	3	IN		8	987	2150	1.2	first:IN
Oneself		49	3	IN		9	452	678	1	first:IN
Turban		50	3	L|B		61	3085	5875	1.8	all:L|B
Dry		51	3	IN		7	1171	2910	1	first:IN
ShortThread	52	3	L|IN		6	596	699	0.88	firsttwo:L|IN
DottedCliff	53	3	SAL		57	3244	5502	1.4	occur:SAL
LongStride	54	3	SBL		10	580	778	1.4	occur:SBL
TwoHands	55	3	B		12	352	463	0	first:B
Shoot		56	3	SAR		7	382	1127	1.2	occur:SAR
Bow		57	3	L|IN|B		36	2014	4084	1.6	firsttwo:L|IN
Snout		58	3	A|B		9	287	1811	1.2	occur:A
Bristle		59	3	R		15	1022	2219	1.6	occur:R
Step		60	3	L		48	3709	7528	1.6	all:L
Heart		61	4	L|B		303	11473	21147	3.2	asis:Heart
Halberd		62	4	R|IN		31	975	2231	1.6	occur:R
Door		63	4	SAL		11	1129	3016	1.2	occur:SAL
Hand		64	4	L|B		339	14218	25972	3.6	asis:Hand
Branch		65	4	R		2	223	437	0	occur:R
Rap		66	4	R		45	3313	8439	1.2	occur:R
Script		67	4	A		8	523	2114	1.4	occur:A
Dipper		68	4	R		8	491	768	0	occur:R
Axe		69	4	R		12	736	2089	1.2	occur:R
Square		70	4	L|B		19	1225	3223	2.2	all:L|B
Not		71	4	R		4	136	354	1.2	occur:R
Sun		72	4	A|L|B		160	6864	15515	3.2	asis:Sun
Say		73	4	B|A|IN		19	1265	5709	1.2	occur:A
Moon		74	4	R|L		23	1795	4698	1.4	occur:R
Tree		75	4	L|B|IN		590	14688	29833	3.4	asis:Tree
Lack		76	4	R		34	1487	3020	1.2	occur:R
Stop		77	4	A|L|B		15	1571	3585	1.2	occur:A
Death		78	4	L		28	877	1880	1.4	all:L
Weapon		79	4	R		19	830	1409	1.2	occur:R
DoNot		80	4	B		6	725	1207	1.2	first:B
Compare		81	4	IN		5	224	538	1.1	first:IN
Fur		82	4	SBL|R|B		17	252	277	1.2	occur:SBL
Clan		83	4	IN		4	462	776	1.2	first:IN
Steam		84	4	SAR		6	255	1601	0.93333	occur:SAR
Water		85	4	L|B|IN		548	19530	30122	4.2	asis:Water
Fire		86	4	L|B		174	4489	7628	2.6	asis:Fire
Claw		87	4	A		10	129	134	1.2	occur:A
Father		88	4	A		4	249	334	0	occur:A
DoubleX		89	4	IN		4	4	4	0	first:IN
HalfTreeTrunk	90	4	L		5	0	0	0.88889	all:L
Slice		91	4	L		10	471	988	1.8	all:L
Fang		92	4	IN		1	10	12	0	first:IN
Cow		93	4	L|B		32	1254	2670	1.4	all:L|B
Dog		94	4	L|R		102	2505	3424	1.8	occur:R
Profound	95	5	L		4	350	559	0	all:L
Jade		96	5	L|A		159	2099	3905	4.6	asis:Jade
Melon		97	5	R|IN		5	4	5	1.2	occur:R
Tile		98	5	R|SBL|B		27	129	178	1.4	occur:SBL
Sweet		99	5	IN		4	254	287	0	first:IN
Life		100	5	R		6	488	1949	0.95	occur:R
Use		101	5	B		5	255	2331	0.88	first:B
Field		102	5	L|B|A		65	3754	7823	2.4	occur:A
BoltOfCloth	103	5	L|B		6	343	484	0.93333	all:L|B
Sickness	104	5	SAL		130	1770	2199	1.8	occur:SAL
DottedTent	105	5	A		5	510	1906	1.4	occur:A
White		106	5	L|A		27	1096	2308	2	occur:A
Skin		107	5	R|L		9	239	254	1.4	occur:R
Dish		108	5	B		30	1401	1641	1.6	first:B
Eye		109	5	L|B		98	3178	7182	2	all:L|B
Spear		110	5	L		5	127	149	1	all:L
Arrow		111	5	L|R		14	873	1968	1.1	occur:R
Stone		112	5	L|B		126	2940	5124	1.6	all:L|B
Spirit		113	5	L		73	3006	5456	1.8	all:L
Track		114	5	B		5	1	2	0	first:B
Grain		115	5	L|A		98	4273	7665	2	occur:A
Cave		116	5	A		51	1563	3062	2	occur:A
Stand		117	5	L|A		31	1243	2887	1.2	occur:A
Bamboo		118	6	A		198	4572	8302	2.6	asis:Bamboo
Rice		119	6	L|B		76	1691	1877	1.8	all:L|B
Silk		120	6	L		262	11196	19520	2.2	all:L
Jar		121	6	L|B		16	127	132	1.4	all:L|B
Net		122	6	A		35	1120	2248	2	occur:A
Sheep		123	6	L|A|R		27	971	1499	1.4	occur:A
